Працівник;Посада;Оплата по окладу;Надбавка за вислугу років;Надбавка за інтенсивність праці;Премія місячна;Відпустка основна;Індексація з/п;Інші;Сума;
Кличко В. В.;Київський міський голова;13531,43;6495,09;0;0;5707;47,4;0;25780,92
Поворозник М. Ю.;Перший заступник голови КМДА;8140;4070;8140;10582;0;32,59;1221;32185,59
Давтян Д. О.;Заступник голови КМДА;10571,43;951,43;10571,43;13742,86;16106,55;47,4;1585,71;53576,81
Мондриївський В. М.;Заступник голови КМДА;9968,17;2691,41;9968,17;12958,62;13261,52;44,69;1495,22;50387,8
Непоп В. І.;Заступник голови КМДА;12553,57;376,61;12553,57;16319,64;0;56,29;1883,04;43742,72
Пантелеєв П. О.;Заступник голови КМДА;13214,28;4757,15;13214,28;17178,56;1748,56;59,25;1982,15;52154,23
Слончак В. В.;Заступник голови КМДА з питань здійснення самоврядних повноважень;13875;5411,25;13875;18037,5;0;62,22;2081,25;53342,22
Спасибко О. В.;Заступник голови КМДА;12553,57;1506,43;12553,57;16319,64;0;56,29;1883,04;44872,54
Хонда М. П.;Заступник голови КМДА з питань здійснення самоврядних повноважень;7928,57;3567,86;7928,57;10307,14;0;35,55;1189,29;30956,98
